+ACI-storm number+ACI-,+ACI-heading+ACI-,+ACI-pressure+ACI-,+ACI-radius+ACI-,+ACI-forward speed+ACI-,+ACI-probability+ACI-,,+ACI-heading generated+ACI-,+ACI-heading historical+ACI-,,,,,,,
1,+AC0-13.54765639,64.31062253,20.81294337,6.39758632,0.2057587,,+AC0-13.54765639,2008,3.73,345.37,78,30,64.97,+AC0-14.63,
2,+AC0-12.81043275,64.13383836,20.85415663,5.54804302,0.14439592,,+AC0-12.81043275,1998,259.03,347.7,49,50,4.1,+AC0-12.3,
3,+AC0-61.79053234,64.13384017,20.79634194,4.80698078,0.36458451,,+AC0-61.79053234,1985,548.12,297.3,54,13,15,+AC0-62.7,
4,+AC0-12.81750026,74.59057349,18.70846971,6.39758601,0.25351869,,+AC0-12.81750026,1998,259.03,347.7,49,50,4.1,+AC0-12.3,
5,48.07697684,51.45896016,29.18861477,6.39758651,0.03174218,,48.07697684,1985,597.55,40.4,46,28,14.4,40.4,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
+ACI-Storm 1+ACI-,+ACI-Similar to IKE+ACI-,+ACI-IKE+ACI-,+ACI-IKE+ACI-,+ACI-modified+ACI-,+ACI-modified+ACI-,,,,,,,,,,
+ACI-ISO+AF8-time+ACI-,+ACI-Nature+ACI-,+ACI-Latitude+ACI-,+ACI-Longitude+ACI-,+ACI-Latitude(mod)+ACI-,+ACI-Longitude(mod)+ACI-,+ACI-pressure deficit+ACI-,+ACI-radius+ACI-,+ACI-Max Wind speed+ACI-,+ACI-forward speed+ACI-,,,,,,
+ACI-YYYY+AC0-MM+AC0-DD+ACI-,+ACI-HH:MM:SS+ACI-,+ACI-deg+AF8-north+ACI-,+ACI-deg+AF8-east+ACI-,+ACI-deg+AF8-north+ACI-,+ACI-deg+AF8-east+ACI-,+ACI-mb+ACI-,+ACI-nmi+ACI-,+ACI-m/s+ACI-,+ACI-m/s+ACI-,+ACI-+ACM- time period+ACI-,+ACI-H+ACo- B landfall+ACI-,+ACI-heading+ACI-,+ACI-pressure+ACI-,+ACI-radius+ACI-,+ACI-forward speed+ACI-
2008+AC0-09+AC0-01,06:00:00 AM,17.2,+AC0-37,17.39,+AC0-37.19,3,3.2146200082,12.86,0,1,1.7081371334,+AC0-13.54765639,64.31062253,20.81294337,6.39758632
2008+AC0-09+AC0-01,12:00:00 PM,17.3,+AC0-38.4,17.49,+AC0-38.59,4.1790384615,3.4049012567,13.5709615385,0.1230307692,2,,,,,
2008+AC0-09+AC0-01,06:00:00 PM,17.5,+AC0-39.9,17.69,+AC0-40.09,5.3580769231,3.7987971275,14.2819230769,0.2460615385,3,,,,,
2008+AC0-09+AC0-02,12:00:00 AM,17.8,+AC0-41.3,17.99,+AC0-41.49,6.5371153846,4.3896409336,14.9928846154,0.3690923077,4,,,,,
2008+AC0-09+AC0-02,06:00:00 AM,18.2,+AC0-42.8,18.39,+AC0-42.99,7.7161538462,5.177432675,15.7038461538,0.4921230769,5,,,,,
2008+AC0-09+AC0-02,12:00:00 PM,18.7,+AC0-44.3,18.89,+AC0-44.49,8.8951923077,6.1621723519,16.4148076923,0.6151538462,6,,,,,
2008+AC0-09+AC0-02,06:00:00 PM,19.3,+AC0-45.8,19.49,+AC0-45.99,10.0742307692,7.3438599641,17.1257692308,0.7381846154,7,,,,,
2008+AC0-09+AC0-03,12:00:00 AM,19.8,+AC0-47.3,19.99,+AC0-47.49,11.2532692308,8.3285996409,17.8367307692,0.8612153846,8,,,,,
2008+AC0-09+AC0-03,06:00:00 AM,20.2,+AC0-48.8,20.39,+AC0-48.99,12.4323076923,9.1163913824,18.5476923077,0.9842461538,9,,,,,
2008+AC0-09+AC0-03,12:00:00 PM,20.6,+AC0-50.3,20.79,+AC0-50.49,13.6113461538,9.9041831239,19.2586538462,1.1072769231,10,,,,,
2008+AC0-09+AC0-03,06:00:00 PM,21.1,+AC0-51.9,21.29,+AC0-52.09,14.7903846154,10.8889228007,19.9696153846,1.2303076923,11,,,,,
2008+AC0-09+AC0-04,12:00:00 AM,21.8,+AC0-53.5,21.99,+AC0-53.69,15.9694230769,12.2675583483,20.6805769231,1.3533384615,12,,,,,
2008+AC0-09+AC0-04,06:00:00 AM,22.4,+AC0-55,22.59,+AC0-55.19,17.1484615385,13.4492459605,21.3915384615,1.4763692308,13,,,,,
2008+AC0-09+AC0-04,12:00:00 PM,23,+AC0-56.4,23.19,+AC0-56.59,18.3275,14.6309335727,22.1025,1.5994,14,,,,,
2008+AC0-09+AC0-04,06:00:00 PM,23.4,+AC0-57.7,23.59,+AC0-57.89,19.5065384615,15.4187253142,22.8134615385,1.7224307692,15,,,,,
2008+AC0-09+AC0-05,12:00:00 AM,23.6,+AC0-59,23.79,+AC0-59.19,20.6855769231,15.8126211849,23.5244230769,1.8454615385,16,,,,,
2008+AC0-09+AC0-05,06:00:00 AM,23.6,+AC0-60.4,23.79,+AC0-60.59,21.8646153846,15.8126211849,24.2353846154,1.9684923077,17,,,,,
2008+AC0-09+AC0-05,12:00:00 PM,23.5,+AC0-61.9,23.69,+AC0-62.09,23.0436538462,15.6156732496,24.9463461538,2.0915230769,18,,,,,
2008+AC0-09+AC0-05,06:00:00 PM,23.2,+AC0-63.4,23.39,+AC0-63.59,24.2226923077,15.0248294434,25.6573076923,2.2145538462,19,,,,,
2008+AC0-09+AC0-06,12:00:00 AM,22.8,+AC0-64.9,22.99,+AC0-65.09,25.4017307692,14.237037702,26.3682692308,2.3375846154,20,,,,,
2008+AC0-09+AC0-06,06:00:00 AM,22.4,+AC0-66.3,22.59,+AC0-66.49,26.5807692308,13.4492459605,27.0792307692,2.4606153846,21,,,,,
2008+AC0-09+AC0-06,12:00:00 PM,21.9,+AC0-67.7,22.09,+AC0-67.89,27.7598076923,12.4645062837,27.7901923077,2.5836461538,22,,,,,
2008+AC0-09+AC0-06,06:00:00 PM,21.5,+AC0-69,21.69,+AC0-69.19,28.9388461538,11.6767145422,28.5011538462,2.7066769231,23,,,,,
2008+AC0-09+AC0-07,12:00:00 AM,21.2,+AC0-70.3,21.39,+AC0-70.49,30.1178846154,11.0858707361,29.2121153846,2.8297076923,24,,,,,
2008+AC0-09+AC0-07,06:00:00 AM,21.1,+AC0-71.6,21.29,+AC0-71.79,31.2969230769,10.8889228007,29.9230769231,2.9527384615,25,,,,,
2008+AC0-09+AC0-07,12:00:00 PM,21,+AC0-72.8,21.19,+AC0-72.99,32.4759615385,10.6919748654,30.6340384615,3.0757692308,26,,,,,
2008+AC0-09+AC0-07,01:00:00 PM,21,+AC0-73.2,21.19,+AC0-73.39,33.655,10.6919748654,31.345,3.1988,27,,,,,
2008+AC0-09+AC0-07,06:00:00 PM,21,+AC0-74,21.19,+AC0-74.19,34.8340384615,10.6919748654,32.0559615385,3.3218307692,28,,,,,
2008+AC0-09+AC0-08,12:00:00 AM,21.1,+AC0-75.2,21.29,+AC0-75.39,36.0130769231,10.8889228007,32.7669230769,3.4448615385,29,,,,,
2008+AC0-09+AC0-08,02:00:00 AM,21.1,+AC0-75.7,21.29,+AC0-75.89,37.1921153846,10.8889228007,33.4778846154,3.5678923077,30,,,,,
2008+AC0-09+AC0-08,06:00:00 AM,21.1,+AC0-76.5,21.29,+AC0-76.69,38.3711538462,10.8889228007,34.1888461538,3.6909230769,31,,,,,
2008+AC0-09+AC0-08,12:00:00 PM,21.1,+AC0-77.8,21.29,+AC0-77.99,39.5501923077,10.8889228007,34.8998076923,3.8139538462,32,,,,,
2008+AC0-09+AC0-08,06:00:00 PM,21.2,+AC0-79.1,21.39,+AC0-79.29,40.7292307692,11.0858707361,35.6107692308,3.9369846154,33,,,,,
2008+AC0-09+AC0-09,12:00:00 AM,21.5,+AC0-80.3,21.69,+AC0-80.49,41.9082692308,11.6767145422,36.3217307692,4.0600153846,34,,,,,
2008+AC0-09+AC0-09,06:00:00 AM,22,+AC0-81.4,22.19,+AC0-81.59,43.0873076923,12.661454219,37.0326923077,4.1830461538,35,,,,,
2008+AC0-09+AC0-09,12:00:00 PM,22.4,+AC0-82.4,22.59,+AC0-82.59,44.2663461538,13.4492459605,37.7436538462,4.3060769231,36,,,,,
2008+AC0-09+AC0-09,02:00:00 PM,22.6,+AC0-82.9,22.79,+AC0-83.09,45.4453846154,13.8431418312,38.4546153846,4.4291076923,37,,,,,
2008+AC0-09+AC0-09,06:00:00 PM,22.7,+AC0-83.3,22.89,+AC0-83.49,46.6244230769,14.0400897666,39.1655769231,4.5521384615,38,,,,,
2008+AC0-09+AC0-10,12:00:00 AM,23.1,+AC0-84,23.29,+AC0-84.19,47.8034615385,14.8278815081,39.8765384615,4.6751692308,39,,,,,
2008+AC0-09+AC0-10,06:00:00 AM,23.4,+AC0-84.6,23.59,+AC0-84.79,48.9825,15.4187253142,40.5875,4.7982,40,,,,,
2008+AC0-09+AC0-10,12:00:00 PM,23.8,+AC0-85.2,23.99,+AC0-85.39,50.1615384615,16.2065170557,41.2984615385,4.9212307692,41,,,,,
2008+AC0-09+AC0-10,06:00:00 PM,24.2,+AC0-85.8,24.39,+AC0-85.99,51.3405769231,16.9943087971,42.0094230769,5.0442615385,42,,,,,
2008+AC0-09+AC0-11,12:00:00 AM,24.7,+AC0-86.4,24.89,+AC0-86.59,52.5196153846,17.979048474,42.7203846154,5.1672923077,43,,,,,
2008+AC0-09+AC0-11,06:00:00 AM,25.1,+AC0-87.1,25.29,+AC0-87.29,53.6986538462,18.7668402154,43.4313461538,5.2903230769,44,,,,,
2008+AC0-09+AC0-11,12:00:00 PM,25.5,+AC0-88,25.69,+AC0-88.19,54.8776923077,19.5546319569,44.1423076923,5.4133538462,45,,,,,
2008+AC0-09+AC0-11,06:00:00 PM,25.8,+AC0-88.9,25.99,+AC0-89.09,56.0567307692,20.145475763,44.8532692308,5.5363846154,46,,,,,
2008+AC0-09+AC0-12,12:00:00 AM,26.1,+AC0-90,26.29,+AC0-90.19,57.2357692308,20.7363195691,45.5642307692,5.6594153846,47,,,,,
2008+AC0-09+AC0-12,06:00:00 AM,26.4,+AC0-91.1,26.59,+AC0-91.29,58.4148076923,21.3271633752,46.2751923077,5.7824461538,48,,,,,
2008+AC0-09+AC0-12,12:00:00 PM,26.9,+AC0-92.2,27.09,+AC0-92.39,59.5938461538,22.3119030521,46.9861538462,5.9054769231,49,,,,,
2008+AC0-09+AC0-12,06:00:00 PM,27.5,+AC0-93.2,27.69,+AC0-93.39,60.7728846154,23.4935906643,47.6971153846,6.0285076923,50,,,,,
2008+AC0-09+AC0-13,12:00:00 AM,28.3,+AC0-94,28.49,+AC0-94.19,61.9519230769,25.0691741472,48.4080769231,6.1515384615,51,,,,,
2008+AC0-09+AC0-13,06:00:00 AM,29.1,+AC0-94.6,29.29,+AC0-94.79,64.31062253,20.81294337,49.8299458834,6.39758632,52,+ACI-time after landfall+ACI-,,,,
2008+AC0-09+AC0-13,07:00:00 AM,29.3,+AC0-94.7,29.49,+AC0-94.89,60.1336454272,19.8890354782,46.9320660693,6.1578148876,1,,,,,
2008+AC0-09+AC0-13,12:00:00 PM,30.3,+AC0-95.2,30.49,+AC0-95.39,52.7960228757,18.1792269058,41.7529074026,5.7062620306,2,,,,,
2008+AC0-09+AC0-13,06:00:00 PM,31.7,+AC0-95.3,31.89,+AC0-95.49,43.9143800066,15.9269194221,35.3090648699,5.0937015211,3,,,,,
2008+AC0-09+AC0-14,12:00:00 AM,33.5,+AC0-94.9,33.69,+AC0-95.09,34.9672905646,13.4120946301,28.6032857163,4.3833679953,4,,,,,
2008+AC0-09+AC0-14,06:00:00 AM,35.5,+AC0-93.7,35.69,+AC0-93.89,26.8964643943,10.8876230889,22.3541812058,3.6395460328,5,,,,,
2008+AC0-09+AC0-14,12:00:00 PM,37.6,+AC0-91,37.79,+AC0-91.19,20.1117747022,8.5417318362,16.9446277808,2.9181221775,6,,,,,
2008+AC0-09+AC0-14,06:00:00 PM,40.3,+AC0-87.2,40.49,+AC0-87.39,14.6716085953,6.4887357818,12.4989500061,2.2608184458,7,,,,,
2008+AC0-09+AC0-15,12:00:00 AM,43.3,+AC0-81.5,43.49,+AC0-81.69,10.4565419221,4.7784335033,8.9858295426,1.6933073327,8,,,,,
2008+AC0-09+AC0-15,06:00:00 AM,45.8,+AC0-75.3,45.99,+AC0-75.49,7.2803094279,3.4130619572,6.2978770997,1.2263763142,9,,,,,
2008+AC0-09+AC0-15,12:00:00 PM,47.2,+AC0-71.1,47.39,+AC0-71.29,4.9469529333,2.3644478164,4.3004652856,0.8589297457,10,,,,,
